Product Name,Product Price,Product Review
Qbits Sigma X2 Laptop Intel® Core™ i5-1240P (1.70 GHz to 4.40 GHz 12 MB Cache) with 8 GB RAM and 500GB M.2 WD NVMe SSD,"৳ 57,999", 
"MacBook Air 13.6"" 2024 M3 (8GB/256GB)","৳ 123,599", 
"HP 250 G10 i3 (1315u) Laptop with 13th Gen 8GB RAM 512GB SSD 15.6"" FHD IPS Silver and 2 Year Warranty","৳ 53,450",(7)
"Apple MacBook Air laptop, M1 Chip 13 inch 8GB RAM 256GB SSD Space Grey","৳ 99,999",(16)
HP 250 G9 Core i3 12th Gen 8GB ram 512GB SSD 15.6 Inch FHD Free Dos Silver Laptop,"৳ 51,500",(3)
"Walton Tab Walpad 10H Pro 8/128 with 10.36”  FHD Display, Octa Core Chip, MediaTek Helio G99, 6200 mAh Battery and Latest OS","৳ 20,695",(1)
ASUS TUF Gaming A15 FX507VV-LP151W 13th Gen Core-i7 Gaming Laptop,"৳ 199,975", 
"Apple MacBook Pro MTL73 M3 Chip 2.75 to 4.05GHz, 8GB RAM, 512GB SSD, 14.2 Inch Liquid Retina XDR Laptop (Late 2023)","৳ 297,000", 
"HP 250 G9 (9S7M7AT) Intel Core i3-1215U 12th Gen 1.20 to 4.40GHz, 8GB RAM, 512GB SSD, 15.6 Inch HD LED Asteroid Silver Laptop","৳ 55,200", 
"ASUS TUF Gaming F15 FX507ZC4 Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","৳ 117,499", 
"Gigabyte Gaming G5 MF5 13th Gen i7-13620H 2.40 To 4.90GHz, 16GB , 1TB SSD, RTX4050 6GB, Win 11 Home, 15.6 Inch FHD Gaming Laptop","৳ 151,100", 
"ASUS Vivobook 16 X1605VA-MB872W Core-i7 13th Gen 16GB RAM 512GB SSD 16"" WUXGA Laptop","৳ 106,910", 
ASUS Vivobook 15 X515MA-BQ636T Intel Celeron N4020 4GB RAM 1TB HDD 15.6 Inch FHD Laptop,"৳ 38,350", 
Walton Walpad 8G with 4GB RAM 64GB Storage 2GHz Quad-Core CPU and 8-inch IPS Display 5000 mAh Lithium-Ion Battery,"৳ 14,700",(5)
ASUS Vivobook S 16 OLED S5606MA-MX071W Core Ultra 5-125H 16GB RAM 512GB SSD 16-inch OLED Laptop,"৳ 149,554", 
ASUS Vivobook Go 15 OLED E1504FA-L1565W Ryzen 5 7520U 16GB RAM 512GB SSD 15.6'' OLED Laptop,"৳ 76,866", 
Asus Vivobook X515MA-BQ636T Intel Celeron N4020 1.1 to 2.8GHz 4GB RAM 1TB HDD 15.6 FHD Laptop,"৳ 38,490", 
"HP 250 G8 11th Gen Core i3-1115G4 3 to 4.1GHz, 8GB, 1TB HDD, 15.6 Inch FHD Laptop","৳ 49,750", 
ASUS Vivobook Go 15 OLED E1504FA-L1565W Ryzen 5-7520U 16GB RAM 512GB SSD 15.6 Inch OLED Laptop,"৳ 76,850", 
ASUS Vivobook 15 OLED M1505YA-L1098W Ryzen 7 7730U Laptop,"৳ 94,927", 
ASUS VivoBook P1511CMA-BR693W Intel Celeron N4020 4GB RAM 1TB HDD 256GB M.2 NVMe SSD 15.6 Inch Laptop (Upgradad),"৳ 39,990", 
"ASUS Vivobook 16 X1605VA-MB386W Core-i5 13th Gen 16GB RAM 512GB SSD 16"" WUXGA Laptop","৳ 90,374", 
ASUS VivoBook P1511CMA-BR693W Intel Celeron N4020 4GB RAM 1TB HDD 15.6 Inch Laptop,"৳ 36,800", 
ASUS Vivobook S 16 Flip OLED TP3604VA-MY207W Core-i5 13th Gen 16GB RAM 16.0-inch OLED Touch Display Laptop,"৳ 147,326", 
"Gigabyte AERO 16 OLED BKF Core i7 13th Gen 16GB,1TB SSD,8GB Graphics, Win 11H,16""OLED Gaming Laptop","৳ 204,800", 
"Walton Tab Walpad 10H Pro With Keyboard 8/128 with 10.36”  FHD Plus Display, Octa Core Chip, MediaTek Helio G99, 6200 mAh Battery and Latest OS","৳ 21,750", 
"Chuwi GemiBook XPro 14.1 Inch N100 3.4GHz, 8GB, 256GB, Win11 Laptop","৳ 35,000", 
ASUS Vivobook 15 (X1504VA-NJ263W) 13TH Gen Core i7 16GB RAM 512GB SSD Laptop,"৳ 103,689", 
"HP 15s-eq1578AU (7K1K3PA) AMD Athlon Silver 3050U 2.3 to 3.2GHz, 8GB 256GB SSD, Win 11, 15.6 Inch IPS FHD Laptop","৳ 48,499", 
MacBook Air 13’’ 2020 M1 (8/256 GB),"৳ 89,999", 
"ASUS Vivobook 16 X1605VA-MB871W Core-i3 13th Gen 8GB RAM 512GB SSD 16"" WUXGA Laptop","৳ 70,464", 
"HP 255 G8 AMD Ryzen 5 5500U 8GB Ram 512GB SSD 15.6"" FHD Free DOS 2 Year Warranty Laptop","৳ 56,200",(2)
